2020-09-15 08:41:52.069  INFO 10696 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-09-15 08:41:58.381  INFO 10696 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=employee-service, profiles=[default], label=null, version=3891cb6d7a884832829f31cd5038f7012fa31843, state=null
2020-09-15 08:41:58.387  INFO 10696 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/PRATHYUSHA0805/PrathyushaGitRepoMVC/application.properties'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/PRATHYUSHA0805/PrathyushaGitRepoMVC/application.yml'}]
2020-09-15 08:41:58.510  INFO 10696 --- [main] i.p.e.EmployeeServiceApplication         : No active profile set, falling back to default profiles: default
2020-09-15 08:41:59.670  INFO 10696 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-09-15 08:41:59.995  INFO 10696 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 308ms. Found 1 JPA repository interfaces.
2020-09-15 08:42:00.218  WARN 10696 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-09-15 08:42:00.483  INFO 10696 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=ae17dd9b-1ba4-3ea5-bf0f-262a0606e53b
2020-09-15 08:42:02.147  INFO 10696 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8087 (http)
2020-09-15 08:42:02.167  INFO 10696 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-09-15 08:42:02.168  INFO 10696 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-15 08:42:02.460  INFO 10696 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-09-15 08:42:02.462  INFO 10696 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3903 ms
2020-09-15 08:42:02.684  WARN 10696 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-09-15 08:42:02.684  INFO 10696 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-15 08:42:02.717  INFO 10696 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@25a94b55
2020-09-15 08:42:03.173  INFO 10696 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-09-15 08:42:03.380  INFO 10696 --- [task-1] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2020-09-15 08:42:03.627  INFO 10696 --- [task-1] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.20.Final
2020-09-15 08:42:03.663  WARN 10696 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-09-15 08:42:03.663  INFO 10696 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-15 08:42:03.811  WARN 10696 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-09-15 08:42:04.204  INFO 10696 --- [task-1] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-09-15 08:42:04.564  INFO 10696 --- [task-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-09-15 08:42:04.601  WARN 10696 --- [task-1] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-09-15 08:42:05.007  INFO 10696 --- [task-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-09-15 08:42:05.050  INFO 10696 --- [task-1] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-09-15 08:42:06.901  INFO 10696 --- [task-1] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-09-15 08:42:06.914  INFO 10696 --- [task-1] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-15 08:42:07.502  WARN 10696 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-09-15 08:42:07.588  INFO 10696 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-09-15 08:42:07.653  INFO 10696 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-09-15 08:42:07.766  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-09-15 08:42:08.256  INFO 10696 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-09-15 08:42:08.256  INFO 10696 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-09-15 08:42:08.478  INFO 10696 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-09-15 08:42:08.480  INFO 10696 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-09-15 08:42:08.793  INFO 10696 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 08:42:09.018  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-09-15 08:42:09.018  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-09-15 08:42:09.019  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-09-15 08:42:09.020  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-09-15 08:42:09.020  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-09-15 08:42:09.020  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-09-15 08:42:09.021  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-09-15 08:42:09.255  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-09-15 08:42:09.260  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-09-15 08:42:09.266  INFO 10696 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-09-15 08:42:09.272  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1600139529270 with initial instances count: 1
2020-09-15 08:42:09.279  INFO 10696 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application EMPLOYEE-SERVICE with eureka with status UP
2020-09-15 08:42:09.280  INFO 10696 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1600139529280, current=UP, previous=STARTING]
2020-09-15 08:42:09.284  INFO 10696 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_EMPLOYEE-SERVICE/DESKTOP-KLJ2H36:employee-service:8087: registering service...
2020-09-15 08:42:09.339  INFO 10696 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8087 (http) with context path ''
2020-09-15 08:42:09.343  INFO 10696 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8087
2020-09-15 08:42:09.356  INFO 10696 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_EMPLOYEE-SERVICE/DESKTOP-KLJ2H36:employee-service:8087 - registration status: 204
2020-09-15 08:42:09.683  INFO 10696 --- [main] DeferredRepositoryInitializationListener : Triggering deferred initialization of Spring Data repositories…
2020-09-15 08:42:10.147  INFO 10696 --- [main] DeferredRepositoryInitializationListener : Spring Data repositories initialized!
